@RELATION 'my_relation: -C 5'

@ATTRIBUTE A {0,1}
@ATTRIBUTE C {0,1}
@ATTRIBUTE B {0,1}
@ATTRIBUTE E {0,1}
@ATTRIBUTE D {0,1}
@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric
@ATTRIBUTE att5 numeric
@ATTRIBUTE att6 numeric

@DATA
0,0,1,1,0,7.558571446089853,3.2997561641468396,9.626821881002169,3.688839050309178,6.724153261308042,5.094435855503859
0,0,1,1,0,4.657391608925864,4.1034577927818425,8.089417682602985,8.216489004895733,5.4732441327993975,4.015049288183635
0,1,0,0,0,11.00600485827673,10.808750430960252,9.54218778668525,15.823232048327927,10.310629927559903,10.773769833938568
0,0,1,1,0,6.710240116010278,5.549069316625667,6.8977929777070575,4.296937968097097,5.801691532716866,3.8307140731523353
0,1,0,0,0,13.446204189864341,10.624169300542862,11.522183280398526,11.939458523529032,14.936413512559557,8.236800514717974
1,0,1,0,1,-0.7067373798581971,1.4060687599414297,-0.25969128222597215,0.3547135356448144,-3.8146783065324303,-0.3300138976957126
0,1,0,0,0,8.147425180876446,12.934255572766645,9.865438751151531,11.549244339014574,11.230422568800643,7.30244034775569
0,0,1,1,0,3.215387737748382,8.791432145222338,6.25192025887971,6.190442326371046,5.739467249525767,3.821497174556732
0,1,0,0,0,9.390539358782554,7.209717398008907,9.589959561763802,10.030487227998231,9.929264825318244,10.993600856399546
0,0,1,1,0,5.238186201138646,8.090096413611086,5.099408993162908,5.933662902589072,4.397047472737292,3.368545000654733
0,1,0,0,0,12.352546037368525,10.835789322791634,9.773164659797587,11.374970633981647,5.744689567544706,9.69428326365645
0,0,1,1,0,5.717632323145422,7.369412319477883,3.842951538675967,4.781795778594358,6.246553884340584,5.8065175444223645
1,0,1,0,1,1.9494288071943509,0.879771959932919,-1.4176738775502369,4.908648409881014,0.9921607590566502,-4.5993165091848
0,0,1,1,0,5.518120173983063,7.402782113253024,4.8586545393841405,5.672500952637835,8.303240102585775,3.437564969026556
0,1,0,0,0,12.264752857616802,9.136551942926674,9.547263250933826,12.190737319085084,8.476741127007065,13.592088796733432
0,1,0,0,0,12.850724703134293,7.539647781894756,7.545847176578807,9.120984500842333,8.49620913860329,12.606303507731084
0,0,1,1,0,6.497069218767117,5.432668636155733,5.114603619490167,5.069444278670616,4.908866603692321,5.778591397560572
0,0,1,1,0,7.1830618216013935,7.0372077161747555,4.3018247726848315,7.389045686414574,3.884985117504043,5.482273537473169
1,0,1,0,1,-1.4597953120543086,-1.4174816066515563,1.260625671738999,1.8845982453220427,-0.9735928270668653,-1.422106088612323
0,1,0,0,0,11.097169543290992,7.80751297854537,13.093144791267223,7.632645558867743,9.693141780794583,12.41835265654236
0,0,1,1,0,3.904900132519119,4.099322483224517,4.793888109376235,6.143936636801706,7.941506138257889,1.602642743750374
0,1,0,0,0,11.839188468462426,11.899105682012376,8.79588049533111,8.358554669334115,7.30227675877159,10.406403375151605
0,0,1,1,0,5.809537958428772,9.427433260622752,-0.852213660574364,9.047571484433776,7.75304674282014,5.181715885842761
0,0,1,1,0,3.399527528196458,4.336913192453281,7.396650351431285,3.0843612040920236,4.846514895609597,6.950667445258659
0,1,0,0,0,9.42190539777393,13.183753439597524,6.868566094450103,11.342764507482892,12.654395283499506,6.6384794290902445
0,1,0,0,0,10.60507995321594,11.658921641992029,11.966689101820982,13.229294837899324,11.820764066520766,7.5386775711385665
0,1,0,0,0,10.79334528730615,7.137508192077393,13.745045308427525,14.084706688457125,10.299348016322215,9.741413887506917
0,0,1,1,0,9.38658174081154,4.090214039791056,1.155427537050198,7.963044614576548,7.915622509911424,6.226521523809416
1,0,1,0,1,-0.6260119873279197,2.030219095928372,3.349970939100807,4.853723690818088,-0.18931187611966185,-1.9767857913657636
1,0,1,0,1,-2.3026194160405598,-2.63679507160665,-0.23613727819746747,-4.955602872173512,-3.1072008030983955,0.08159684157440979
0,0,1,1,0,6.964975520003651,5.030462403025796,5.545932345022053,5.585096444071783,9.100508003267024,4.420320154104564
1,0,1,0,1,-2.9591697159018295,0.9843731336604198,-0.9808005445912656,-3.0505895579429305,-4.164560963846734,-0.21312876401053932
0,0,1,1,0,4.535002330739218,0.9945209045775245,4.63646804231266,6.129259681947406,4.830540815386845,0.9098547459546102
0,1,0,0,0,13.996223361019313,7.302188060641706,7.801417003378443,6.929759674595054,9.820870894179716,12.798086745628758
0,1,0,0,0,8.782121253051551,12.2347307261454,11.257174543157737,8.69823716781805,8.873347028441211,12.725281430704245
0,1,0,0,0,10.766504181560588,8.253608769747675,8.233317329772811,8.701419789929648,10.327119948018229,7.73293723642744
1,0,1,0,1,2.3369809068404357,0.9359425714837307,-2.4153409433445754,-2.391374063238302,-1.0014442116494853,2.5505406229833767
0,1,0,0,0,9.395229362806207,9.302790647232747,10.444132121785994,10.65734182649056,11.094663871840691,12.259544000236113
0,1,0,0,0,10.404203573473268,7.476835768935965,6.251675070025417,6.247924949700073,8.931213876079031,9.193942812381753
0,1,0,0,0,10.572610762103244,8.670725174413713,11.898788258923712,8.915446442181675,8.488989362409146,10.427544797960065
0,1,0,0,0,10.682686264868751,7.264542966123717,11.88783310085037,7.032750526604165,10.908146656082074,8.642647964913635
0,0,1,1,0,4.20355425455226,6.515407462137595,4.340293174504088,1.8322551007760093,5.017093480685861,4.800578205357082
0,1,0,0,0,9.675158506229783,10.61623344712239,7.97844874892687,8.269311065190394,10.317309701281937,9.13980597671626
0,1,0,0,0,8.86727953345478,13.787053832662028,7.604740236682533,11.99146325152773,7.067237484396314,8.307341003076068
0,1,0,0,0,8.535817841800183,8.197159287185288,9.102744227567506,8.069306329350521,10.946561373320002,12.020781274530545
1,0,1,0,1,-1.1356829398555452,-3.7511455833049627,-1.4918875753465668,-0.13815467958186722,-0.42997645477167334,1.4731698103544564
1,0,1,0,1,-2.583661714927898,-2.8612884240529506,0.09324543320904116,-1.3794082920874686,0.954954426862234,0.6811934298142411
0,1,0,0,0,12.335867319041547,6.694068062346166,12.246943597826673,8.032498818658205,9.373284648470047,10.755390057348018
0,0,1,1,0,3.2948928369476733,6.796493376290615,7.274716373828641,8.432388298160319,5.016302283535948,8.921153351516153
0,1,0,0,0,7.37360774903161,12.202169609652884,10.110654972339097,12.431763005613886,9.275780016809133,8.427078525544673
0,1,0,0,0,8.570461151117133,10.742832978584252,10.469293717451793,9.365799383994325,10.221674392537237,10.794341761942539
0,1,0,0,0,10.247189401614579,6.88386841500343,9.889012493333526,7.878786344966528,12.61301766414405,10.381979784782303
0,0,1,1,0,2.8842380509478747,7.880875918897011,4.557582058464369,3.558722954491609,4.107333824276875,2.011422454467288
0,1,0,0,0,13.602041707695475,8.504650069575627,9.84227350998249,7.308262582127952,8.681053360229164,12.549731265400313
0,0,1,1,0,8.336935059224835,2.8780658150781453,6.378815978331106,5.029069918878151,5.742259575313657,5.579641886394721
1,0,1,0,1,-1.7558502769165172,1.0945134363807116,-3.3680932758838305,-1.639338061955269,3.396193304103877,-2.139853044289212
0,1,0,0,0,7.149064124994517,8.475408157111314,10.05147137565935,9.58512986074101,12.973188980311239,10.320688928962195
0,0,1,1,0,6.504861013946698,4.285095211273303,2.369277812547215,2.232856399641901,4.7148878172571935,3.7607610859320557
0,1,0,0,0,14.586478562425409,12.399218807756732,5.716267648119981,11.865333924888667,10.62698054382205,11.488140446429172
1,0,1,0,1,0.5120768443621105,0.4473564390558691,2.377999364163277,1.0208077189757438,1.4429777317078363,-1.2019851531064296
0,0,1,1,0,2.947847146111062,2.6559575777438567,5.486690272349138,5.8491736193630555,3.443433232287022,6.031711344759106
0,1,0,0,0,9.748621220303736,10.797257911773436,11.18233937230271,11.332386654044253,8.582841224738349,6.0536827458910505
0,0,1,1,0,2.726870502352021,6.841979637693006,5.3773505133207795,4.20956509758233,7.28915545436436,8.062528658303284
0,1,0,0,0,8.364033859740715,10.429871763682556,9.01291041759382,12.144020527168216,8.979957631758378,10.456844935143591
0,1,0,0,0,12.707019993088803,12.101474396296096,12.185089613546225,8.666683970288894,11.468761381498757,7.523442827405319
0,0,1,1,0,8.598292266999094,3.7851363547866086,6.63823908986434,9.426968111512853,2.6099037325096766,5.163611204499744
0,0,1,1,0,4.626866309818078,2.6941008477929076,9.25917177012517,5.5424597477567765,1.979277409754773,2.568296840832553
0,0,1,1,0,5.195151611194548,4.064691984365428,5.357759714992972,5.207451462653527,7.771529083243199,2.027793412693404
0,1,0,0,0,12.93906910320975,6.848323862997203,11.524319776794966,8.609151844333786,8.428743513306873,10.040033826660617
0,0,1,1,0,6.890303602089615,3.2365108074406654,4.078561951721387,4.37886207587386,4.424124090319523,3.9115665086648903
0,1,0,0,0,9.061996830536682,10.406724941613604,11.51731616798868,14.626854728485693,7.217989550187099,8.541564712028494
0,0,1,1,0,5.846570981639167,6.839672273413054,7.282977976321066,6.769098372025796,8.403983676933041,3.414070791254777
0,0,1,1,0,1.7893383293916791,5.255062888447919,8.0714345411321,3.9839916658428827,7.869443149683445,7.043762648362314
0,0,1,1,0,6.478041039874171,4.461524799230768,1.6657375962051901,8.918121482390845,5.158051467255162,4.272399155753997
0,0,1,1,0,3.6406407511448835,6.867311569833334,6.028309344858938,3.8229272565787387,6.399260679922564,7.156319977069003
0,0,1,1,0,3.4034358527889914,10.034678116596616,4.692194607497083,7.22586403509818,6.197473008607925,4.231554261826895
0,1,0,0,0,11.343179960268538,10.155272060635703,9.686040977891276,12.449486667058551,12.897277056147285,9.592050087849179
0,1,0,0,0,7.0225712366565975,7.0022367816521935,10.784892529949735,9.01046715170919,7.399467799719192,11.097676780410277
0,1,0,0,0,8.794367710897887,9.653335585633194,5.165381819860101,10.47846782078984,7.028094617066429,11.444388584826786
1,0,1,0,1,2.0334278778664783,-2.186611526604715,1.9949761936009915,-2.7523382882957628,0.506367420482153,1.4340218989877758
0,0,1,1,0,1.9562122390499157,7.434634994564419,6.934281707744102,6.107366616705959,4.675074181362054,5.7496299407722
0,0,1,1,0,2.8527674100982283,6.31996027759792,6.686438314089916,5.5328859925315115,3.374859013046402,5.119360149563098
0,1,0,0,0,13.931728297553455,7.4154648434812,6.533375717804976,11.521627550172603,5.196608945507156,8.460767496154702
0,1,0,0,0,5.475237376865059,11.090954160489245,12.988569897742625,9.466419997085088,13.114845254714954,10.091572734919794
0,1,0,0,0,8.953312682297359,8.138773712344241,7.76159192262366,10.739751735396624,11.876691248788477,10.311478102300615
0,1,0,0,0,9.7383634598458,10.439297935458484,9.151802371923464,9.853724589445845,7.415445691934917,14.037534357671529
0,0,1,1,0,5.817047738675436,2.826437006494379,3.865676634635022,3.998812072128875,6.167972923751599,8.101984494618486
0,1,0,0,0,8.532165640032783,8.807720405180696,8.32602712695326,13.284863611713858,7.4157891679603045,7.8711825166386475
0,0,1,1,0,3.2385631224658837,6.1594182165637985,6.794626973577552,4.644392581774251,5.776962774871133,1.7792321377642288
0,1,0,0,0,7.748044355676914,10.418218969316374,11.466128579223257,9.644633503563288,9.973925433837756,8.865581810780412
0,1,0,0,0,12.733063687895795,8.447728776808393,10.166028688326286,10.931643747191483,11.55693684211626,12.102449289894466
0,0,1,1,0,2.6569875289200877,3.8728830905808938,2.407723327883469,5.010496059119198,5.129164403591406,5.7990418578399945
0,1,0,0,0,11.915500328106834,15.551671528781931,12.868158322549943,12.146369044080478,9.150678463209573,10.409668352329371
0,0,1,1,0,3.6101465350616015,5.197580164913365,1.256493970067655,2.941572139841376,2.8902759850733233,7.147661957463042
0,1,0,0,0,11.13376779124265,9.403988255212314,6.194923454305215,8.720243141121529,8.705922052205212,13.578525969259152
0,1,0,0,0,11.575581101583232,10.266605074161951,12.275750727913426,11.474238037713505,11.573792959208644,8.281948745320209
