@RELATION 'my_relation: -C 5'

@ATTRIBUTE A {0,1}
@ATTRIBUTE C {0,1}
@ATTRIBUTE B {0,1}
@ATTRIBUTE E {0,1}
@ATTRIBUTE D {0,1}
@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric
@ATTRIBUTE att5 numeric
@ATTRIBUTE att6 numeric

@DATA
0,1,0,0,0,10.205284185316293,13.281915617309412,7.736632848490936,13.398283970057442,9.617557734734758,8.092752151236356
1,0,1,0,1,4.586478562425409,2.399218807756733,-4.283732351880019,1.8653339248886676,0.62698054382205,1.4881404464291719
1,0,1,0,1,-3.5320634276678926,-0.4688055759643607,-1.7714863150317068,-0.8234216738861128,0.030089634020497812,-1.3087755463438548
0,0,1,1,0,4.563273689500611,7.607373903122696,7.079846275710663,2.928792569871688,6.078291936993318,6.067611937038207
1,0,1,0,1,1.974565855436867,0.011744127623680966,-1.1390037280037566,-1.1133556559297668,-0.3738145513244699,0.551340264941476
0,0,1,0,0,5.07097534490694,2.2932347886498428,5.750729678170252,0.252560031167699,0.8845059506744066,-0.32208470095621244
0,0,1,0,0,4.342475000376323,0.5591212387293285,2.5260422664334046,3.4496926136793764,4.917094135610883,1.5223616461824774
0,0,1,1,0,4.6521990254190335,6.670954804011489,2.6384079435221253,3.515644338419414,4.733477147341263,2.418373238285926
1,0,1,0,1,-1.0466873177026408,-1.8612262876557593,-2.23840807737634,0.7397517353966229,1.8766912487884773,0.3114781023006158
1,0,1,0,1,0.9466384418804586,1.2460567489811878,2.9023633141027365,-1.6517772456708129,0.27324054318572405,3.0444105394238044
0,1,0,0,0,8.345719723298252,9.108696089010003,13.575224512911522,13.229021941247549,7.372232229474293,12.79111861489336
0,0,1,1,0,2.37360774903161,7.202169609652883,5.110654972339097,7.431763005613886,4.275780016809133,3.4270785255446725
0,1,0,0,0,9.748621220303736,10.797257911773436,11.18233937230271,11.332386654044253,8.582841224738349,6.0536827458910505
1,0,1,0,1,2.056585448936311,-2.0597484277832825,1.6783579527762027,-1.1663701216872298,-4.179242717441781,6.197337726639719
0,1,0,0,0,13.403864525305652,10.443146805242499,9.960840991384048,11.466760904942644,14.121095705701077,8.58675992172072
1,0,1,0,1,-0.15167562192075235,-2.728244124179361,2.7833647415454448,2.1313086810827575,-1.4266558374513518,-1.0644043318863663
0,1,0,0,0,8.326256265399548,8.161783305468306,10.212924500677385,9.716936861797837,8.940363765198127,9.037626659933125
1,0,1,0,1,-0.2125433757943104,-1.4484975195195153,-1.1613973721477362,-3.4883603072278433,-2.40697850582423,2.3635466288849614
0,0,1,1,0,6.915500328106835,10.551671528781931,7.868158322549943,7.146369044080478,4.150678463209573,5.409668352329371
0,0,1,1,0,11.35482613718673,3.2645737022537977,6.958895504188222,6.054103394748362,6.524816531482939,4.74348108500508
0,1,0,0,0,10.766504181560588,8.253608769747675,8.233317329772811,8.701419789929648,10.327119948018229,7.73293723642744
1,0,1,0,1,3.4007521785333457,-0.401459673612935,-1.898268478190792,2.3083483937609,-4.669656282718907,3.4276845801868774
0,1,0,0,0,11.166108433768068,8.411810600939072,13.011063741270474,8.572012288202032,9.32959166980174,7.967106241859025
0,1,0,0,0,10.011609033937187,8.977993678944609,13.712884749733062,11.725684115517868,8.478637594390463,12.724483391456092
1,0,0,0,0,0.7474956094941559,-2.0336109912546063,-2.8067165784243526,-0.5025285189807721,1.1186112001495896,-0.35754034595212353
0,0,1,1,0,8.602041707695475,3.504650069575627,4.84227350998249,2.3082625821279517,3.681053360229165,7.549731265400313
0,0,1,1,0,7.939069103209749,1.8483238629972036,6.524319776794966,3.6091518443337858,3.428743513306874,5.040033826660617
1,0,1,0,1,-0.4047985621201231,-0.3718324004107597,-0.8293603899297647,-0.2516354797773123,1.2298586222031782,1.5142228987073916
1,0,1,0,1,3.017587183672345,1.2334995508272948,-1.8871434211603646,1.4678725755036843,0.23008355464737623,2.3720210775135513
0,0,1,0,0,4.535496547179367,4.720778054476984,4.575093148602644,0.8331720310173931,2.3213586407461784,0.09395113563445223
0,0,1,1,0,5.60507995321594,6.658921641992029,6.966689101820982,8.229294837899324,6.820764066520766,2.5386775711385665
0,0,1,1,0,3.535817841800182,3.1971592871852885,4.102744227567506,3.0693063293505216,5.946561373320002,7.020781274530545
1,0,0,0,0,1.738584130203127,2.033139984063591,1.9960347728011618,-0.12264903471359034,0.16120879719886666,0.990380614672991
0,1,0,0,0,9.842354684207967,8.662943692584106,12.398207411701886,7.430246503177489,10.726515190119857,12.005171678693486
1,0,1,0,1,6.1506723545735085,0.3371638538190985,-0.4672817521538166,-0.5822420715377209,-2.9367384421855243,0.5122791901086033
0,0,1,1,0,5.525323628877089,4.75162876443786,4.9508354905760585,4.673385011762979,4.48099817178117,9.202548235543421
0,0,1,1,0,3.86727953345478,8.787053832662028,2.604740236682533,6.991463251527731,2.0672374843963133,3.3073410030760684
1,0,0,0,0,1.7217453688748956,-1.2252523751940996,-0.04122671062451455,1.2717178893551808,-1.096402303552971,-3.052006517693496
0,0,1,1,0,7.850724703134293,2.5396477818947556,2.5458471765788064,4.120984500842334,3.4962091386032887,7.606303507731083
0,0,1,1,0,2.748044355676914,5.418218969316374,6.466128579223257,4.644633503563288,4.973925433837755,3.8655818107804123
1,0,1,0,1,-1.4546972904618323,-1.704806183618297,2.929090451610224,1.2779116179914443,3.071064271754343,-1.4886351393983046
0,1,0,0,0,10.111474910460975,7.007691046591953,9.483685640671286,10.584349671326398,13.918597257785716,15.210161057418496
0,1,0,0,0,7.090452833090286,10.727529381551022,9.559071449496827,8.544253136690052,11.263307219017268,11.355210927810795
0,0,1,1,0,6.575581101583233,5.2666050741619514,7.275750727913427,6.474238037713505,6.573792959208644,3.2819487453202094
0,0,1,1,0,6.839188468462426,6.899105682012375,3.7958804953311107,3.358554669334115,2.30227675877159,5.406403375151606
0,0,1,1,0,3.4205007244278116,3.1708571889950803,5.691534080023151,4.552282425672263,7.044745392299557,1.0910781002889207
1,0,1,0,1,3.996223361019313,-2.6978119393582936,-2.1985829966215564,-3.070240325404946,-0.1791291058202841,2.798086745628758
0,0,1,1,0,5.618063794790197,5.449544081598651,6.391914155901689,9.08288539539685,6.926791696284143,4.225976399329021
0,0,1,1,0,4.0698507021636114,4.505587588223234,2.526746391192317,3.789987941498151,8.355885536176965,7.887619656500297
0,1,0,0,0,8.782121253051551,12.2347307261454,11.257174543157737,8.69823716781805,8.873347028441211,12.725281430704245
0,1,0,0,0,11.13376779124265,9.403988255212314,6.194923454305215,8.720243141121529,8.705922052205212,13.578525969259152
0,1,0,0,0,10.572610762103244,8.670725174413713,11.898788258923712,8.915446442181675,8.488989362409146,10.427544797960065
1,0,0,0,0,1.0430858572680848,0.24886948685379967,2.212176432238309,-0.03982268345583842,1.109709163661793,0.26734761432986504
1,0,1,0,1,-0.835082587382235,0.7879257150273078,-4.024131478820859,0.10351878968358401,-3.570316179602501,1.4012764088912832
0,0,1,0,0,4.405569781695914,9.237368997710728,1.1791133752478322,5.70691398985407,3.1735052057191955,-3.129183477893153
1,0,0,0,0,-2.4641809758895272,3.5137554632351122,0.5510711789523876,-1.2037405191679378,1.28044514522324,2.558103461216045
1,0,1,0,1,0.6826862648687506,-2.735457033876284,1.88783310085037,-2.967249473395835,0.9081466560820739,-1.3573520350863655
0,0,1,1,0,1.5412063431336462,5.184274864393297,3.817301277169693,2.1904232210070655,3.1743322244747696,3.805026098730209
1,0,1,0,1,-0.57809460222607,3.1837534395975235,-3.1314339055498968,1.3427645074828927,2.6543952834995053,-3.361520570909756
