@RELATION 'my_relation: -C 10'

@ATTRIBUTE 1 {0,1}
@ATTRIBUTE 1_3 {0,1}
@ATTRIBUTE 1_3_5 {0,1}
@ATTRIBUTE 1_3_6 {0,1}
@ATTRIBUTE 1_4 {0,1}
@ATTRIBUTE 2 {0,1}
@ATTRIBUTE 2_2.1 {0,1}
@ATTRIBUTE 2_2.1_8 {0,1}
@ATTRIBUTE 2_2.1_9 {0,1}
@ATTRIBUTE 2_7 {0,1}
@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric
@ATTRIBUTE att5 numeric

@DATA
0,0,0,0,0,1,0,0,0,1,6.600896194423349,9.126820680607137,8.08168356292716,7.286062715452746,7.840173812790829
1,1,0,1,0,0,0,0,0,0,5.248394183147207,5.713715211069844,4.304573867549131,5.126510966702565,4.655477111566887
0,0,0,0,0,1,0,0,0,1,8.24762631587979,6.504335447882204,8.205686662982666,5.223157107615969,6.7416001362391516
1,1,1,0,0,0,0,0,0,0,3.0521881578896597,2.2951901427529218,4.252779600952359,3.9647542198415455,3.849594648318875
0,0,0,0,0,1,0,0,0,1,8.390523357167094,7.074677500615495,7.049809625450723,8.863715135051239,6.631037446865423
1,1,0,1,0,0,0,0,0,0,4.125630590460567,5.590110517674885,6.51203035871628,4.959393446560814,5.259542981618172
1,1,0,1,0,0,0,0,0,0,7.027417237863536,4.2861691813874865,4.883128805291217,4.877210606421563,6.518750715900143
0,0,0,0,0,1,1,1,0,0,8.48551274894149,7.755415917904099,7.491043580883569,9.533385930776248,9.27079243244064
0,0,0,0,0,1,1,0,1,0,11.763383320463067,9.17376566470622,10.61910903251313,11.845286375599734,11.148610707825037
1,1,1,0,0,0,0,0,0,0,2.66354682154809,4.486731503263714,2.6595984628573452,3.241697085443107,3.820767453178226
0,0,0,0,0,1,1,1,0,0,9.26345597956688,9.797518971546966,8.748747253483089,8.342661561480138,10.412453223006006
0,0,0,0,0,1,1,0,1,0,12.060481142698793,12.132282747099076,8.323914153336192,10.768638872699551,12.14305518007285
