@RELATION 'my_relation: -C 23'

@ATTRIBUTE 1 {0,1}
@ATTRIBUTE 1_16 {0,1}
@ATTRIBUTE 1_3 {0,1}
@ATTRIBUTE 1_3_10 {0,1}
@ATTRIBUTE 1_3_15 {0,1}
@ATTRIBUTE 1_3_5 {0,1}
@ATTRIBUTE 1_3_5_13 {0,1}
@ATTRIBUTE 1_3_5_14 {0,1}
@ATTRIBUTE 1_3_5_7 {0,1}
@ATTRIBUTE 1_3_5_7_11 {0,1}
@ATTRIBUTE 1_3_5_7_12 {0,1}
@ATTRIBUTE 2 {0,1}
@ATTRIBUTE 2_23 {0,1}
@ATTRIBUTE 2_4 {0,1}
@ATTRIBUTE 2_4_17 {0,1}
@ATTRIBUTE 2_4_6 {0,1}
@ATTRIBUTE 2_4_6_18 {0,1}
@ATTRIBUTE 2_4_6_8 {0,1}
@ATTRIBUTE 2_4_6_8_21 {0,1}
@ATTRIBUTE 2_4_6_8_22 {0,1}
@ATTRIBUTE 2_4_6_8_9 {0,1}
@ATTRIBUTE 2_4_6_8_9_19 {0,1}
@ATTRIBUTE 2_4_6_8_9_20 {0,1}
@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric
@ATTRIBUTE att5 numeric
@ATTRIBUTE att6 numeric
@ATTRIBUTE att7 numeric
@ATTRIBUTE att8 numeric
@ATTRIBUTE att9 numeric
@ATTRIBUTE att10 numeric
@ATTRIBUTE att11 numeric
@ATTRIBUTE att12 numeric
@ATTRIBUTE att13 numeric

@DATA
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,195.90075033177277,235.2660927919599,340.6689858788153,219.54381129000674,251.8160389210141,235.37828762857418,273.6656454346561,204.3561966143064,250.66215014962472,226.35910065484865,261.24912481283974,144.10256581788903,219.33686654497515
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.34225636435485,187.68036814987698,220.68587577831713,199.62020387744522,198.27594302878538,290.8132326561852,188.92651211217907,169.6074539464789,171.10331313340475,227.2055925160904,215.24555328810632,248.8303160478891,240.2187154810609
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.0378263284009,219.54678731962392,148.02142757613245,203.4021245607908,243.7171785101063,225.9009234980722,182.7557746926385,189.5188253871144,178.98752418405587,250.06195762717914,180.95830743274107,227.98128277581108,230.5537909512807
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,224.60188765750195,161.3093200168089,225.90123552159395,243.38512187547684,160.08341579997443,289.25566112902885,247.73931262409195,251.73151508748913,259.3541807889173,215.40446415131316,234.27705140386175,194.01599546260417,200.20992329264215
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,246.79830480994877,140.99696919650336,275.9265064162144,225.14129534874792,256.4252225648728,160.0244365587636,208.98475736819168,200.31954671887888,196.49770112159618,230.6039052623878,268.8578236107262,240.54423291062352,171.1172663867101
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,227.77312255870248,169.14717805491148,203.42139826084505,223.9436724336984,226.44890724487345,174.783249942088,191.45724326487777,233.63919237555808,265.9505813847211,156.04269001407766,194.04341477549426,236.57354070023933,203.32729530297647
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,208.1460865317429,222.1774789906164,241.29737972192024,246.6029793229014,208.8532956090911,190.6107387742366,151.09421260054557,234.155781645213,156.6543226805961,276.85593955180997,253.51861498026946,207.46933762584675,215.08955024371087
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,293.45046615381335,242.84503367554416,290.4055776860035,283.4885556547337,201.7287707150497,204.28229759849555,227.9263322337398,203.11315665915473,206.56764465350918,271.15717502655235,212.692905839616,209.17349948677312,233.04829767791108
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.81430371393873,214.43677147501793,228.79453853467925,123.86774993109147,177.0745094549908,182.09693798973208,238.39359975120868,180.83883123069194,205.7409933580213,232.650797815399,151.27440991744282,190.43582757869,218.1309460219589
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,191.51616802831958,207.80178809600466,249.97163052176322,218.33994208528506,245.73865634341084,271.6807681663155,230.60066318275588,150.97743097870637,225.24558691188153,220.29478517169952,252.64304204439975,203.48383883023814,226.33737960536496
