@RELATION 'my_relation: -C 23'

@ATTRIBUTE 1 {0,1}
@ATTRIBUTE 1_16 {0,1}
@ATTRIBUTE 1_3 {0,1}
@ATTRIBUTE 1_3_10 {0,1}
@ATTRIBUTE 1_3_15 {0,1}
@ATTRIBUTE 1_3_5 {0,1}
@ATTRIBUTE 1_3_5_13 {0,1}
@ATTRIBUTE 1_3_5_14 {0,1}
@ATTRIBUTE 1_3_5_7 {0,1}
@ATTRIBUTE 1_3_5_7_11 {0,1}
@ATTRIBUTE 1_3_5_7_12 {0,1}
@ATTRIBUTE 2 {0,1}
@ATTRIBUTE 2_23 {0,1}
@ATTRIBUTE 2_4 {0,1}
@ATTRIBUTE 2_4_17 {0,1}
@ATTRIBUTE 2_4_6 {0,1}
@ATTRIBUTE 2_4_6_18 {0,1}
@ATTRIBUTE 2_4_6_8 {0,1}
@ATTRIBUTE 2_4_6_8_21 {0,1}
@ATTRIBUTE 2_4_6_8_22 {0,1}
@ATTRIBUTE 2_4_6_8_9 {0,1}
@ATTRIBUTE 2_4_6_8_9_19 {0,1}
@ATTRIBUTE 2_4_6_8_9_20 {0,1}
@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric
@ATTRIBUTE att5 numeric
@ATTRIBUTE att6 numeric
@ATTRIBUTE att7 numeric
@ATTRIBUTE att8 numeric
@ATTRIBUTE att9 numeric
@ATTRIBUTE att10 numeric
@ATTRIBUTE att11 numeric
@ATTRIBUTE att12 numeric
@ATTRIBUTE att13 numeric

@DATA
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,228.12512222741464,231.1229468743304,238.474221732481,229.85568250613795,317.4704261456564,313.945160776107,278.1920564289754,260.08832130404244,285.07789248741074,266.97029558029266,221.08556625746186,217.5496723069669,185.24428074732765
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.6566259272818,217.12852700135105,213.09251356911113,160.6905578929693,178.62712265653343,229.51696184167668,195.89267231178977,209.66240585343732,171.2601245154876,244.2491058045366,201.66859419858935,214.51214921613834,176.26779000291526
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.9709874543346,189.95578235564645,164.24518548999322,196.69876898457298,243.3056555247698,217.90168013116184,206.8921417722178,219.62420211821612,204.58279631692224,275.34721615077007,261.1977956833023,208.23841655643852,174.89687806928998
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,197.64477626401114,269.43809272478705,222.67364996491358,315.67234137086234,282.918128483753,231.29149883768196,216.04420900439433,270.08483023073046,221.7258277271714,270.9650392333003,292.66266712596587,319.2246733870353,281.1512665740404
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,278.39440413528683,242.4276742357471,273.8529667354111,277.7142427186575,206.58290104484843,292.76084591427633,241.19759002262364,234.00010090404527,284.85789821887283,187.29883717535114,242.28182269975656,264.8800064684163,272.38875884062696
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,184.72445760973923,299.3641879599664,255.0070809216277,266.21253644693377,266.8181291994115,223.23746309802337,205.90001895793483,236.90211239614518,190.52402496169375,213.17193375460147,251.47941470188368,211.34206994351382,250.58644126851723
1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.93159245496045,213.3331300988306,234.39901760518788,166.61691431061502,92.17387063108404,232.923337939763,222.32245590435298,217.8192454485865,169.82024789967957,194.10520518277355,172.80412559366658,135.4408038099,233.05998730814514
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,176.75829364423217,260.4858747786521,307.4520655399981,292.0734284344009,276.5723378908051,207.2033968290596,210.95140095527074,249.9102664036643,195.97515618885686,247.73259046439162,250.97634741567703,240.79870881709422,321.6572800348122
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,263.85260532225703,182.3192886801559,190.06997171104533,194.18949046390452,227.686785469903,272.208678339044,281.3375833283912,268.4931997634855,274.80354003992204,221.13078089841466,338.6008625420989,294.17800538602745,159.0238865777975
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.65445955096993,210.53868470691737,107.81078240831893,190.43345657629854,226.83889719752412,224.4849583264737,174.5496465373513,236.63208679102186,169.69992663415348,222.07437981056125,221.4665570650946,227.1708981479061,181.95119737660357
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,285.04426644189215,177.52557381985758,212.2313867206275,248.25692161026547,254.18676471536003,258.51612435698655,244.77072220464007,282.23405270063864,198.15788575615582,307.64925748495295,268.6037722538282,214.15741045064365,289.57725721513236
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,170.03007879560647,239.0941647475589,195.8075487583406,220.03032872864787,186.19356926737876,195.17341887902668,176.63484450091784,149.64558584117538,231.61086654444654,145.3901835333869,206.78271454349306,205.53723232067838,185.29113977979148
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.7620671484841,121.74832849250564,105.78988762924743,183.92151767444497,209.94363532008384,184.67920270303162,240.74265040834814,232.87238897414105,320.23581196022303,191.04874110204756,166.15078703901904,244.8276204647775,223.13528635634214
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,252.31741519805223,93.73033050099602,191.49043220717573,224.61313197031492,233.0642165282727,262.5082996127257,276.5939361888562,264.0859947083526,156.19824541065844,209.61134867959117,237.72016892032266,208.89971583096724,175.98609084522943
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.79830480994877,133.99696919650336,268.9265064162144,218.14129534874792,249.4252225648728,153.0244365587636,201.98475736819168,193.31954671887888,189.49770112159618,223.6039052623878,261.8578236107262,233.54423291062352,164.1172663867101
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.32802998951198,251.86912952514166,204.5723144142991,210.94860982847524,238.6232307686115,202.43453876399417,227.95491258900466,208.66990209261115,234.47367190591112,252.98681860191653,206.36326354425984,326.97119078286795,216.90315157367894
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,274.1092478479397,259.96187163481534,261.726445334181,323.890724938023,206.70294322909083,132.24203895193494,226.64646383244835,220.20725381458806,263.36646764164146,263.6963152121524,349.73659667453916,248.15887446047762,291.79588567867364
