@RELATION 'my_relation: -C 23'

@ATTRIBUTE 1 {0,1}
@ATTRIBUTE 1_16 {0,1}
@ATTRIBUTE 1_3 {0,1}
@ATTRIBUTE 1_3_10 {0,1}
@ATTRIBUTE 1_3_15 {0,1}
@ATTRIBUTE 1_3_5 {0,1}
@ATTRIBUTE 1_3_5_13 {0,1}
@ATTRIBUTE 1_3_5_14 {0,1}
@ATTRIBUTE 1_3_5_7 {0,1}
@ATTRIBUTE 1_3_5_7_11 {0,1}
@ATTRIBUTE 1_3_5_7_12 {0,1}
@ATTRIBUTE 2 {0,1}
@ATTRIBUTE 2_23 {0,1}
@ATTRIBUTE 2_4 {0,1}
@ATTRIBUTE 2_4_17 {0,1}
@ATTRIBUTE 2_4_6 {0,1}
@ATTRIBUTE 2_4_6_18 {0,1}
@ATTRIBUTE 2_4_6_8 {0,1}
@ATTRIBUTE 2_4_6_8_21 {0,1}
@ATTRIBUTE 2_4_6_8_22 {0,1}
@ATTRIBUTE 2_4_6_8_9 {0,1}
@ATTRIBUTE 2_4_6_8_9_19 {0,1}
@ATTRIBUTE 2_4_6_8_9_20 {0,1}
@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric
@ATTRIBUTE att5 numeric
@ATTRIBUTE att6 numeric
@ATTRIBUTE att7 numeric
@ATTRIBUTE att8 numeric
@ATTRIBUTE att9 numeric

@DATA
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,193.15613902720418,140.2225565297864,246.11649098082245,156.4764027919956,183.01510018464273,247.082160345697,258.3043562722825,227.17216853492508,237.68845888132432
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,285.05561994601067,214.40829755850666,261.7289437298266,206.88060077046384,197.4257392009796,184.0768738660007,212.01873885715446,215.33396364824975,140.30345241614594
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,221.31047038588105,196.05316245618081,267.6993261579971,242.3235859307989,211.81544281738584,215.8924424089933,243.7514834193211,175.31552921944166,276.6240156971201
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.69426458101708,186.4220751415922,191.3057671280338,160.89064776770647,238.45937068642615,205.92152375568352,271.99324216396167,259.88304555326164,238.86524275679213
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,241.87709429707158,225.88856246593832,230.82713497909472,227.4946092399372,242.1860019634618,278.3564497058731,206.33557187282887,243.50983879579528,248.69398676625664
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,215.77639973368383,223.18050961345546,218.6322666386431,256.3360977037392,245.93809389424317,252.9909523882606,179.25822051260357,240.1024455846525,168.62512997343805
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.32165510009176,147.25977013577756,182.25162992313392,238.42763477331943,187.85499050644455,230.50240568134532,233.7884231793288,251.1444104281028,298.9794253623927
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,172.12985832736467,203.4064840189514,187.27486086476534,252.2001194134972,231.09901060012794,184.11376898253977,191.6715463846177,220.69557865984885,247.497907118903
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,174.1838787128845,176.1466087749541,230.9700421552423,179.2573238021943,205.4782145754832,206.72092624598702,145.46945471325068,209.79252873562194,133.39355221381294
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,170.45542470383657,227.60805614014635,247.85784233983412,194.17398471806726,229.76973390960737,252.87284301111805,187.80455580495155,295.24314477537615,208.40298467138638
