@RELATION 'my_relation: -C 13'

@ATTRIBUTE 1 {0,1}
@ATTRIBUTE 1_5 {0,1}
@ATTRIBUTE 1_6 {0,1}
@ATTRIBUTE 2 {0,1}
@ATTRIBUTE 2_13 {0,1}
@ATTRIBUTE 2_3 {0,1}
@ATTRIBUTE 2_3_12 {0,1}
@ATTRIBUTE 2_3_4 {0,1}
@ATTRIBUTE 2_3_4_10 {0,1}
@ATTRIBUTE 2_3_4_11 {0,1}
@ATTRIBUTE 2_3_9 {0,1}
@ATTRIBUTE 2_8 {0,1}
@ATTRIBUTE 7 {0,1}
@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric

@DATA
1,0,1,0,0,0,0,0,0,0,0,0,0,0.22276870600956766,0.11880134074587567,0.11402823456918687
0,0,0,1,1,0,0,0,0,0,0,0,0,0.3735114440608288,0.8131641744687245,0.8949355060655774
1,1,0,0,0,0,0,0,0,0,0,0,0,0.12032527053958053,0.414587872346575,0.5789806903381546
0,0,0,1,0,1,0,1,0,0,0,0,0,0.3701771958597933,0.18683304043353943,0.2781461462508713
0,0,0,1,0,1,1,0,0,0,0,0,0,0.07604883900368042,0.21266876084156683,0.7288683402805236
0,0,0,0,0,0,0,0,0,0,0,0,1,0.03546064490670109,0.7730765571890634,0.5606573690000607
1,0,1,0,0,0,0,0,0,0,0,0,0,0.6913141488429921,0.5929415429715796,0.5832518718004379
0,0,0,1,0,0,0,0,0,0,0,0,0,0.451938065719343,0.7334315156153591,0.08841136514253739
0,0,0,1,0,1,0,0,0,0,1,0,0,0.3918352489910193,0.4239233258869397,0.036874019438638106
0,0,0,1,0,0,0,0,0,0,0,0,0,0.6659640774758826,0.34925171195856464,0.7261569405508828
0,0,0,1,0,0,0,0,0,0,0,1,0,0.8847929359770795,0.9688087467064419,0.47316880748827017
0,0,0,1,0,1,1,0,0,0,0,0,0,0.08409758136585321,0.03482874219941834,0.7247613925001224
1,0,1,0,0,0,0,0,0,0,0,0,0,0.16472666945107284,0.8891387003477663,0.8749863156288172
0,0,0,1,0,1,0,1,1,0,0,0,0,0.016160506569184663,0.16462505142266137,0.07038685852712667
0,0,0,1,0,1,0,1,0,1,0,0,0,0.07709123774049154,0.8970591294419633,0.352628364422336
0,0,0,1,0,1,1,0,0,0,0,0,0,0.9614096327601817,0.3538088518398629,0.884527826929434
0,0,0,1,0,1,1,0,0,0,0,0,0,0.7073633562496011,0.252638326637351,0.453516912479912
0,0,0,1,0,0,0,0,0,0,0,1,0,0.9926323067406174,0.3172221023183145,0.27968958938005584
0,0,0,1,1,0,0,0,0,0,0,0,0,0.4700417482688133,0.6041790619335464,0.7819680516177417
0,0,0,1,0,0,0,0,0,0,0,1,0,0.7647077950994126,0.3161382578514952,0.4044470905456585
0,0,0,1,1,0,0,0,0,0,0,0,0,0.41755196893189317,0.20517477720466504,0.5248515550254457
0,0,0,1,0,1,0,1,1,0,0,0,0,0.8198302903242629,0.6524224395619893,0.5903967568668931
0,0,0,0,0,0,0,0,0,0,0,0,1,0.5451255189608019,0.6252468521666756,0.6634307747885368
0,0,0,1,0,1,1,0,0,0,0,0,0,0.6796293947392011,0.3913687312248345,0.49759936696787355
0,0,0,1,0,1,0,1,0,1,0,0,0,0.5725116647699261,0.7874654908191775,0.35199662600007164
0,0,0,1,1,0,0,0,0,0,0,0,0,0.306094963945187,0.6997525852014409,0.6000605605778524
0,0,0,1,0,1,0,1,0,0,0,0,0,0.17875597020035133,0.1431622284360562,0.9640609742235783
1,0,1,0,0,0,0,0,0,0,0,0,0,0.7367030489733968,0.17086220189813017,0.9511562565956998
0,0,0,1,0,1,1,0,0,0,0,0,0,0.1936807678001493,0.5808061310216853,0.49953033445349926
1,1,0,0,0,0,0,0,0,0,0,0,0,0.7422675965027192,0.7792539130880549,0.13814037970776238
0,0,0,1,0,1,0,1,0,0,0,0,0,0.6169175287681333,0.3661451598983283,0.5955808928311519
0,0,0,1,0,1,0,0,0,0,1,0,0,0.7149335639050675,0.09111017073287953,0.5430162041247735
0,0,0,1,0,1,0,0,0,0,1,0,0,0.23071691671218986,0.6635496378221072,0.002583501167184754
0,0,0,1,0,1,0,1,1,0,0,0,0,0.13158790106925689,0.12330940739013585,0.709399486597474
0,0,0,1,0,1,1,0,0,0,0,0,0,0.31726661605573125,0.833719106895963,0.49736869851686094
0,0,0,1,0,1,0,1,1,0,0,0,0,0.7313476755615153,0.8270792551474099,0.7354103927812963
1,0,1,0,0,0,0,0,0,0,0,0,0,0.7625778588916484,0.0824482884843516,0.41865173851686943
0,0,0,1,0,1,1,0,0,0,0,0,0,0.5670468216798519,0.05629502799984143,0.4768541602592429
0,0,0,1,0,1,0,0,0,0,0,0,0,0.9120637207767046,0.05055701397799378,0.5755088040117727
0,0,0,1,0,1,0,1,1,0,0,0,0,0.8889333620824069,0.1758358144386305,0.07511412016677033
0,0,0,1,0,1,0,1,1,0,0,0,0,0.9178502719314746,0.7707338313938344,0.2935190237822366
0,0,0,1,0,1,0,0,0,0,1,0,0,0.7205497581699959,0.2342621097131916,0.6559503952949896
0,0,0,1,0,1,0,1,0,1,0,0,0,0.7815138555447875,0.5131452633571327,0.8298426661699068
0,0,0,1,0,1,0,0,0,0,1,0,0,0.25963382466875007,0.44083568833866715,0.42535430033471977
0,0,0,1,0,1,0,1,1,0,0,0,0,0.11292700033235725,0.7424860490177606,0.3902478158035282
1,0,1,0,0,0,0,0,0,0,0,0,0,0.5385158364478282,0.5725513456713269,0.900722415637427
0,0,0,1,0,1,0,0,0,0,0,0,0,0.9880790171459122,0.2792655924841141,0.5917664628585266
0,0,0,0,0,0,0,0,0,0,0,0,1,0.789660947998524,0.7093579865252414,0.6626134728656272
1,0,1,0,0,0,0,0,0,0,0,0,0,0.49958723009722006,0.5245255954756566,0.4306807977360564
1,1,0,0,0,0,0,0,0,0,0,0,0,0.7589561734255812,0.8227101755437868,0.04048701448708081
0,0,0,1,0,1,0,1,1,0,0,0,0,0.7649068265114879,0.8434517457829687,0.6770849208216219
0,0,0,1,0,1,0,0,0,0,1,0,0,0.07352222179248635,0.28443708319417826,0.2301531267341509
1,1,0,0,0,0,0,0,0,0,0,0,0,0.8193308403520337,0.09494632248377932,0.3846431654103487
0,0,0,1,0,1,0,1,0,0,0,0,0,0.528921665368283,0.539054500537735,0.307625473574066
0,0,0,1,0,1,1,0,0,0,0,0,0,0.8558359853153373,0.10895096166699703,0.35670019195328373
1,0,1,0,0,0,0,0,0,0,0,0,0,0.6651814950045242,0.36053695763038296,0.2132536056430575
0,0,0,1,0,0,0,0,0,0,0,1,0,0.541858374722498,0.87981537853002,0.26758415219848575
0,0,0,1,0,1,0,0,0,0,0,0,0,0.7808955171727141,0.636400710585519,0.37022525926032734
0,0,0,1,0,1,0,1,1,0,0,0,0,0.24497563366809694,0.6590302806458779,0.17184489468137087
0,0,0,1,0,1,0,1,1,0,0,0,0,0.2797741145934505,0.04352957019450221,0.08245637722706456
0,0,0,1,0,0,0,0,0,0,0,1,0,0.9419580885678931,0.12054849174726623,0.45239035906373604
1,0,1,0,0,0,0,0,0,0,0,0,0,0.8889660523821961,0.448577278452444,0.46839365874441785
1,1,0,0,0,0,0,0,0,0,0,0,0,0.16187458490383988,0.9170464001934299,0.10643147016701382
1,0,0,0,0,0,0,0,0,0,0,0,0,0.5748623844524112,0.17782766047793397,-0.2380063511832604
0,0,0,0,0,0,0,0,0,0,0,0,1,0.27011361260547206,0.9177647287483139,0.49924617678588734
0,0,0,1,0,1,0,1,1,0,0,0,0,0.35882657967390086,0.41274636397725173,0.1677967329905048
0,0,0,1,1,0,0,0,0,0,0,0,0,0.8059128717974742,0.14618398035438207,0.09061562171933579
0,0,0,1,0,1,1,0,0,0,0,0,0,0.3401531029135504,0.7359399300201048,0.05531047683438295
0,0,0,0,0,0,0,0,0,0,0,0,1,0.44913497508019773,0.6974275723100919,0.554428163502002
0,0,0,1,0,0,0,0,0,0,0,1,0,0.2684599605022774,0.13096307127479767,0.2777360935348503
0,0,0,1,0,0,0,0,0,0,0,1,0,0.3696438246689586,0.8831141626028901,0.1323748511955286
0,0,0,0,0,0,0,0,0,0,0,0,1,0.06697759184759733,0.4447435016959891,0.4480467297561872
0,0,0,1,0,1,0,1,0,0,0,0,0,0.7370454053988829,0.7996515366364525,0.8329484032685569
0,0,0,1,0,1,0,0,0,0,1,0,0,0.16796786891256998,0.10814024961528534,0.9010396046704208
0,0,0,1,0,1,0,0,0,0,1,0,0,0.02845565975255071,0.1312859487069733,0.13493385559117188
1,1,0,0,0,0,0,0,0,0,0,0,0,0.5807775869387214,0.07301990338019693,0.13838895616148028
1,0,1,0,0,0,0,0,0,0,0,0,0,0.10353371458151062,0.1907450226212437,0.9369283993253641
0,0,0,1,0,1,0,1,1,0,0,0,0,0.09860334796068781,0.5859606503380355,0.4668564988886783
1,0,1,0,0,0,0,0,0,0,0,0,0,0.9250825527618689,0.0419756199958663,0.8400160930478686
0,0,0,1,0,1,0,1,0,1,0,0,0,0.9142808137873804,0.46710929730205064,0.5180887907249669
0,0,0,1,0,1,0,1,1,0,0,0,0,0.741528009286819,0.5379534387349669,0.9326338266822424
0,0,0,1,0,0,0,0,0,0,0,0,0,0.19022372220719058,0.43841926560007827,0.4601593745739391
0,0,0,0,0,0,0,0,0,0,0,0,1,0.4912204863189892,0.12208531804980383,0.2896371798212384
0,0,0,1,0,1,1,0,0,0,0,0,0,0.9379008635863653,0.14267460687059474,0.375312568765239
0,0,0,1,0,1,0,0,0,0,1,0,0,0.8221858223524336,0.8080444517517104,0.8488267539188558
0,0,0,1,0,1,1,0,0,0,0,0,0,0.8976738854273135,0.6970284529068682,0.25594798855597667
0,0,0,1,0,1,0,1,0,0,0,0,0,0.7840195865352466,0.19828355300665362,0.2904014841342728
0,0,0,1,1,0,0,0,0,0,0,0,0,0.47175795146827293,0.6695388341898123,0.45101254564923765
0,0,0,1,0,1,1,0,0,0,0,0,0,0.04992060540380927,0.1568925865689259,0.04825315229540594
0,0,0,1,0,1,0,1,0,1,0,0,0,0.24492111275847628,0.9517241054489511,0.8163022695446527
0,0,0,1,0,1,0,1,0,1,0,0,0,0.2776934163193623,0.10840862420726793,0.44968845817059144
0,0,0,1,1,0,0,0,0,0,0,0,0,0.9164430297578647,0.5662604181548798,0.6753463249131129
0,0,0,1,1,0,0,0,0,0,0,0,0,0.2702590154702953,0.5945756278205565,0.9185155942714066
1,0,1,0,0,0,0,0,0,0,0,0,0,0.025565923265171375,0.7268883060180581,0.1590307006185132
0,0,0,1,0,1,0,0,0,0,1,0,0,0.9605485233610873,0.006622554554786664,0.08271413367589231
0,0,0,0,0,0,0,0,0,0,0,0,1,0.18307283525791607,0.8383200523823291,0.08734412398481017
0,0,0,1,0,0,0,0,0,0,0,0,0,0.6503915848468216,0.2995894612174955,0.6732659295702085
0,0,0,1,1,0,0,0,0,0,0,0,0,0.08586555328913992,0.6202456625296485,0.8805912643509124
0,0,0,1,0,1,0,0,0,0,1,0,0,0.38694037977181317,0.45619021684389116,0.0009175465047944753
0,0,0,1,0,1,1,0,0,0,0,0,0,0.49625699330667594,0.37538983005539095,0.4929128589187791
0,0,0,1,0,1,0,0,0,0,0,0,0,0.14277035000938748,0.3512985840621112,0.24342686609199987
1,0,1,0,0,0,0,0,0,0,0,0,0,0.9382174905209775,0.7802002576830309,0.9216345700630362
0,0,0,1,0,0,0,0,0,0,0,1,0,0.19269060013101558,0.5556894263990806,0.7192955728188166
0,0,0,1,0,1,0,1,1,0,0,0,0,0.7882570059914203,0.5340513746462959,0.8188214194173696
0,0,0,1,1,0,0,0,0,0,0,0,0,0.780791312551837,0.0021537373170649188,0.044137485467277804
0,0,0,1,1,0,0,0,0,0,0,0,0,0.5459236172680992,0.14003894012523033,0.8947786498526455
0,0,0,1,0,0,0,0,0,0,0,1,0,0.8555612106822628,0.24107297534730565,0.4894937202220836
0,0,0,1,0,1,0,0,0,0,1,0,0,0.531351784007615,0.1011534631035681,0.09010351961553864
1,0,1,0,0,0,0,0,0,0,0,0,0,0.2860070164476898,0.4828232739433054,0.06944358218992785
1,0,1,0,0,0,0,0,0,0,0,0,0,0.048183280004247986,0.25269639375025466,0.7977004572322913
0,0,0,1,1,0,0,0,0,0,0,0,0,0.8078161497764431,0.31311660988805234,0.1297292748035077
0,0,0,1,0,1,0,1,0,1,0,0,0,0.09920505338483754,0.27349429172322737,0.8671962643520552
0,0,0,1,0,1,0,1,1,0,0,0,0,0.9200854743925055,0.3607216896502631,0.24030869504225105
0,0,0,1,0,1,0,0,0,0,0,0,0,0.6375110334521781,0.38300227002637377,0.5349426552068454
0,0,0,1,0,1,0,0,0,0,1,0,0,0.4539232336180189,0.7915170840746281,0.6977315966317245
0,0,0,1,0,1,1,0,0,0,0,0,0,0.38289629257079216,0.8233709392613416,0.6551460624120516
0,0,0,1,0,1,0,1,1,0,0,0,0,0.1680521479387419,0.541300221504708,0.8155718281154614
0,0,0,1,1,0,0,0,0,0,0,0,0,0.5551651417865278,0.0015762907965581885,0.6889134528334038
0,0,0,1,0,0,0,0,0,0,0,0,0,0.28934275234369866,0.8011844495524627,0.33453704342545526
0,0,0,1,0,1,0,0,0,0,1,0,0,0.9370070785411164,0.23185181911036568,0.7592195760655929
0,0,0,1,0,1,0,0,0,0,0,0,0,0.7472249433148735,0.18328813106788194,-0.18509924363275648
0,0,0,1,0,1,0,1,0,0,0,0,0,0.31629621223909615,0.2175002399253873,0.8224737227607641
0,0,0,1,0,1,0,0,0,0,1,0,0,0.7858202157815404,0.48300392655527324,0.299123463930031
